,ICHMOKU_alert_1,ICHMOKU_alert_2,ICHMOKU_signal_1,ICHMOKU_signal_1_1,ICHMOKU_signal_2,ICHMOKU_signal_2_1,MACD,MACD_alert,MACD_signal,MACD_signal_1,MACDhist,MACDsignal,SAR,SAR_alert,SAR_signal,SAR_signal_1,base_line_fast,base_line_slow,close,conversion_line_fast,conversion_line_slow,exchange,high,lagging_span,lead_span_A,lead_span_B,low,open,scrip,scrip_name,volume
2021-02-26,,,,,,,23.19809035469052,,SELL,SELL,-7.17321070075392,30.37130105544444,1636.25,TRUE,SELL,BUY,1578.625,1581.0,1537.0,1578.625,1581.0,NSE,1588.9,1430.1,1447.95,983.975,1521.0,1587.05,HDFCBANK,HDFC Bank Limited,13953356
2021-02-26,,,,,,,-47.60440990191273,,SELL,SELL,-31.349658199227385,-16.254751702685347,3129.000452838272,,SELL,SELL,2988.0,3023.825,2900.05,2988.0,3023.825,NSE,2972.35,3218.95,3103.725,2021.725,2880.0,2960.0,TCS,Tata Consultancy Services Limited,5546218
2021-02-25,,,,,,,32.73549650968857,,BUY,BUY,10.567094700226175,22.1684018094624,2003.5642959814402,,BUY,BUY,2073.475,2073.475,2147.0,2073.475,2073.475,NSE,2152.0,1931.8,1945.7,1568.365,2073.0,2076.0,RELIANCE,Reliance Industries Limited,16083972
2021-02-25,,,,,,,-38.24336166896137,,SELL,SELL,-29.826024516082867,-8.417337152878503,3152.09494759808,,SELL,SELL,3008.575,3065.075,2985.05,3008.575,3065.075,NSE,3029.9,3104.05,3054.5,2021.725,2968.45,2974.0,TCS,Tata Consultancy Services Limited,4223554
2021-02-25,,,,,,,28.059601681165987,,SELL,SELL,-4.105002049466933,32.16460373063292,1522.65,TRUE,BUY,SELL,1579.45,1581.825,1605.4,1579.45,1581.825,NSE,1636.25,1400.35,1447.95,983.975,1602.0,1609.75,HDFCBANK,HDFC Bank Limited,10051372
2021-02-24,,,,,,,-34.39353848190058,,SELL,SELL,-33.43270745804279,-0.9608310238577857,3177.7554973312003,,SELL,SELL,3009.525,3083.325,2948.1,3009.525,3083.325,NSE,2987.55,3246.55,3037.5,2021.725,2921.15,2981.6,TCS,Tata Consultancy Services Limited,3552077
2021-02-24,,,,,,,26.892154658868776,,SELL,SELL,-6.29869958413088,33.190854242999656,1632.1602719999998,,SELL,SELL,1568.3000000000002,1581.825,1606.45,1568.3000000000002,1581.825,NSE,1613.95,1367.05,1443.35,983.975,1525.0,1527.95,HDFCBANK,HDFC Bank Limited,6636807
2021-02-24,,,,,,,25.177334596298124,,BUY,BUY,5.65070646189227,19.526628134405854,1989.2685181607276,,BUY,BUY,2051.675,2051.675,2061.0,2051.675,2051.675,NSE,2065.25,1911.15,1952.2,1568.365,2033.55,2038.0,RELIANCE,Reliance Industries Limited,4729533
2021-02-23,,,,,,,-25.217312690679137,,SELL,SELL,-32.61465853133205,7.397345840652912,3198.1559753600004,,SELL,SELL,3038.0,3094.325,2980.2,3038.0,3094.325,NSE,3028.0,3322.25,3037.5,2021.725,2968.0,2970.0,TCS,Tata Consultancy Services Limited,3832139
2021-02-23,,,,,,,24.904000028098608,,SELL,SELL,-9.861529110933766,34.765529139032374,1636.7232,,SELL,SELL,1572.225,1581.825,1529.15,1572.225,1581.825,NSE,1557.7,1421.75,1431.95,983.975,1522.65,1553.75,HDFCBANK,HDFC Bank Limited,9119583
2021-02-23,,,,,,,23.920519432715537,,BUY,BUY,5.80656791378275,18.113951518932787,1973.023316091736,,BUY,BUY,2051.675,2040.325,2023.45,2051.675,2040.325,NSE,2052.9,1982.05,1952.2,1568.365,2013.6,2048.0,RELIANCE,Reliance Industries Limited,11828745
2021-02-22,,,,,,,29.874697208052112,,SELL,SELL,-7.356214208713702,37.230911416765814,1638.84,,SELL,SELL,1587.0,1587.0,1548.0,1587.0,1587.0,NSE,1573.9,1432.8,1421.5,983.975,1539.45,1545.05,HDFCBANK,HDFC Bank Limited,14719902
2021-02-22,,,,,,,25.7917041594485,,BUY,BUY,9.129394618961399,16.6623095404871,1954.5628591951545,,BUY,BUY,2051.675,2017.85,2008.1,2051.675,2017.85,NSE,2089.9,2005.35,1958.725,1568.365,1994.95,2080.0,RELIANCE,Reliance Industries Limited,10983116
2021-02-22,,,,,,,-16.406678132564593,,SELL,SELL,-31.957688606050517,15.551010473485924,3220.3304080000003,,SELL,SELL,3055.4,3094.325,2958.45,3055.4,3094.325,NSE,3096.0,3317.35,2986.5,2021.725,2943.15,3096.0,TCS,Tata Consultancy Services Limited,5364929
2021-02-19,,,,,,,-2.7079165237337293,,SELL,SELL,-26.248349148732284,23.540432624998555,3233.3632000000002,,SELL,SELL,3112.575,3130.9750000000004,3071.85,3112.575,3130.9750000000004,NSE,3087.15,3271.4,2979.625,2021.725,3016.15,3058.0,TCS,Tata Consultancy Services Limited,3724821
2021-02-19,,,,,,,33.86530055834851,,SELL,SELL,-5.204664410595733,39.06996496894424,1641.0,TRUE,SELL,BUY,1587.0,1587.0,1539.1,1587.0,1587.0,NSE,1564.2,1447.2,1421.5,987.5,1533.0,1545.0,HDFCBANK,HDFC Bank Limited,8569489
2021-02-19,,,,,,,29.36777333197756,,BUY,BUY,14.98781244623081,14.37996088574675,1933.585067267221,,BUY,BUY,2066.7,2017.85,2080.3,2066.7,2017.85,NSE,2104.95,2002.85,1961.575,1568.365,2053.3,2057.0,RELIANCE,Reliance Industries Limited,10799057
2021-02-18,,,,,,,3.269890715519068,,SELL,SELL,-26.83262919666256,30.102519912181627,3241.795,,SELL,SELL,3138.25,3138.4,3057.35,3138.25,3138.4,NSE,3097.9,3264.7,2979.625,2021.725,3031.0,3065.0,TCS,Tata Consultancy Services Limited,4189603
2021-02-18,,,,,,,39.37235719006003,TRUE,SELL,BUY,-0.9987738815331468,40.371131071593176,1534.266741592498,,BUY,BUY,1594.5,1594.5,1554.3,1594.5,1594.5,NSE,1605.95,1440.25,1410.5,995.0,1548.0,1605.95,HDFCBANK,HDFC Bank Limited,7360025
2021-02-18,,,,,,,26.153697645540433,,BUY,BUY,15.520689871351387,10.633007774189046,1909.7466673491147,,BUY,BUY,2061.9,2017.85,2063.0,2061.9,2017.85,NSE,2108.4,1984.3,1961.575,1568.365,2059.1,2085.0,RELIANCE,Reliance Industries Limited,8601593
2021-02-17,,,,,,,12.328548090485128,,SELL,SELL,-24.48212912086214,36.81067721134727,3245.8,TRUE,SELL,BUY,3145.525,3145.675,3073.25,3145.525,3145.675,NSE,3132.85,3238.9,2979.625,2021.725,3045.55,3105.1,TCS,Tata Consultancy Services Limited,3675173
2021-02-17,,,,,,,44.281038822679875,,BUY,BUY,3.660214280703414,40.62082454197646,1519.7122063551112,,BUY,BUY,1602.6,1594.5,1586.2,1602.6,1594.5,NSE,1621.8,1449.6,1402.525,997.675,1583.0,1620.0,HDFCBANK,HDFC Bank Limited,6396278
2021-02-17,,,,,,,23.432405440007642,,BUY,BUY,16.679570133656444,6.752835306351199,1889.057408165683,,BUY,BUY,2034.1,2007.975,2078.6,2034.1,2007.975,NSE,2095.95,1992.6,1969.325,1568.365,2050.6,2060.0,RELIANCE,Reliance Industries Limited,10955980
2021-02-16,,,,,,,46.65421372362107,,BUY,BUY,6.948442751820458,39.70577097180061,1503.172961767172,,BUY,BUY,1602.6,1592.225,1625.5,1602.6,1592.225,NSE,1641.0,1492.5,1394.5,1005.575,1608.45,1621.2,HDFCBANK,HDFC Bank Limited,6948222
2021-02-16,,,,,,,18.029848400363562,,BUY,BUY,15.446905627426474,2.5829427729370877,1872.5058784409598,,BUY,BUY,2003.35,1992.2,2058.5,2003.35,1992.2,NSE,2079.4,2020.0,1953.225,1568.365,2035.0,2039.75,RELIANCE,Reliance Industries Limited,9883835
2021-02-16,,,,,,,22.092455531398627,,SELL,SELL,-20.838753960164176,42.931209491562804,3063.4791752854403,,BUY,BUY,3172.75,3172.9,3113.0,3172.75,3172.9,NSE,3167.65,3167.0,2934.7,2021.725,3100.0,3150.0,TCS,Tata Consultancy Services Limited,3435302
2021-02-15,,,,,,,45.00318657938806,,BUY,BUY,7.0345262955425625,37.968660283845495,1488.8977352968577,,BUY,BUY,1596.1,1586.825,1616.6,1596.1,1586.825,NSE,1625.0,1494.8,1394.5,1005.575,1596.7,1600.1,HDFCBANK,HDFC Bank Limited,5176446
2021-02-15,,,,,,,30.186134402798416,,SELL,SELL,-17.954763578805434,48.14089798160385,3059.758342128,,BUY,BUY,3188.675,3187.4,3139.85,3188.675,3187.4,NSE,3209.0,3177.85,2868.5,2021.725,3131.55,3209.0,TCS,Tata Consultancy Services Limited,2629213
2021-02-15,,,,,,,12.918514165758097,,BUY,BUY,14.197297799677628,-1.2787836339195309,1859.3892323839998,,BUY,BUY,2002.65,1989.0,2032.6,2002.65,1989.0,NSE,2061.3,2006.15,1938.625,1568.365,2025.0,2048.05,RELIANCE,Reliance Industries Limited,7284760
2021-02-12,,,,,,,37.3437225709813,,SELL,SELL,-15.285866305323907,52.629588876305206,3055.9615736,,BUY,BUY,3200.4750000000004,3187.4,3190.8,3200.4750000000004,3187.4,NSE,3245.5,3163.2,2868.5,2021.725,3182.0,3184.2,TCS,Tata Consultancy Services Limited,2776139
2021-02-12,,,,,,,8.843778263905278,,BUY,BUY,13.671886347744216,-4.828108083838938,1845.4353535999999,,BUY,BUY,2002.65,1966.475,2041.6,2002.65,1966.475,NSE,2078.0,2029.3,1938.625,1568.365,2015.4,2055.5,RELIANCE,Reliance Industries Limited,14073201
2021-02-12,,,,,,,43.14746558323054,,BUY,BUY,6.937436873270684,36.21002870995986,1473.036372552064,,BUY,BUY,1597.9250000000002,1564.525,1581.95,1597.9250000000002,1564.525,NSE,1592.5,1548.8,1394.5,1006.25,1573.0,1573.9,HDFCBANK,HDFC Bank Limited,4953958
