instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
2079745,8124,AJANTPHARM,AJANTA PHARMA,0,,0,0.05,1,EQ,NSE,NSE
4430593,17307,AJMERA,AJMERA REALTY & INF I,0,,0,0.05,1,EQ,NSE,NSE
3458561,13510,AKASH,AKASH INFRA-PROJECTS,0,,0,0.05,1,EQ,NSE,NSE
557057,2176,AKG,AKG EXIM,0,,0,0.05,1,EQ,NSE,NSE
5165569,20178,AKSHARCHEM,AKSHARCHEM INDIA,0,,0,0.05,1,EQ,NSE,NSE
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0,,0,0.05,1,EQ,NSE,NSE
2539777,9921,ALANKIT,ALANKIT,0,,0,0.05,1,EQ,NSE,NSE
4417537,17256,ALBERTDAVD,ALBERT DAVID,0,,0,0.05,1,EQ,NSE,NSE
20225,79,ALEMBICLTD,ALEMBIC,0,,0,0.05,1,EQ,NSE,NSE
3495937,13656,ALICON,ALICON CASTALLOY,0,,0,0.05,1,EQ,NSE,NSE
4341505,16959,ALKALI,ALKALI METALS,0,,0,0.05,1,EQ,NSE,NSE
2995969,11703,ALKEM,ALKEM LABORATORIES.,0,,0,0.05,1,EQ,NSE,NSE
1148673,4487,ALKYLAMINE,ALKYL AMINES CHEM.,0,,0,0.05,1,EQ,NSE,NSE
3456257,13501,ALLCARGO,ALLCARGO LOGISTICS,0,,0,0.05,1,EQ,NSE,NSE
3020289,11798,ALLSEC,ALLSEC TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE
4280065,16719,ALMONDZ,ALMONDZ GLOBAL SEC,0,,0,0.05,1,EQ,NSE,NSE
4524801,17675,ALOKINDS,ALOK INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
3736833,14597,ALPHAGEO,ALPHAGEO (INDIA),0,,0,0.05,1,EQ,NSE,NSE
1039361,4060,ALPSINDUS,ALPS INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,0,,0,0.05,1,EQ,NSE,NSE
303361,1185,AMBER,AMBER ENTERPRISES (I),0,,0,0.05,1,EQ,NSE,NSE
2942977,11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,0,,0,0.05,1,EQ,NSE,NSE
3899905,15234,AMBIKCO,AMBIKA COTTON MILL.,0,,0,0.05,1,EQ,NSE,NSE
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE
3685889,14398,AMDIND,AMD INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
665089,2598,AMJLAND,AMJ LAND HOLDINGS,0,,0,0.05,1,EQ,NSE,NSE
4492033,17547,AMRUTANJAN,AMRUTAJAN HEALTH,0,,0,0.05,1,EQ,NSE,NSE
3486721,13620,ANANTRAJ,ANANT RAJ,0,,0,0.05,1,EQ,NSE,NSE
